timestamp	measurement_desc	pi_value1	plant_name
2021-03-18 16:00:00	nhp_bruto_extracao_icp	216.76	Primavera do Leste
2021-03-18 20:30:00	nhp_bruto_extracao_icp	222.74	Primavera do Leste
2021-03-19 00:00:00	nhp_bruto_extracao_icp	217.33	Primavera do Leste
2021-03-19 08:00:00	nhp_bruto_extracao_icp	189.71	Primavera do Leste
2021-03-19 16:00:00	nhp_bruto_extracao_icp	190.36	Primavera do Leste
2021-03-20 01:30:00	nhp_bruto_extracao_icp	310.99	Primavera do Leste
2021-03-21 00:00:00	nhp_bruto_extracao_icp	391.39	Primavera do Leste
2021-03-21 16:00:00	nhp_bruto_extracao_icp	178.16	Primavera do Leste
2021-03-22 08:00:00	nhp_bruto_extracao_icp	199.66	Primavera do Leste
2021-03-22 16:00:00	nhp_bruto_extracao_icp	195.52	Primavera do Leste
2021-03-23 08:00:00	nhp_bruto_extracao_icp	175.58	Primavera do Leste
2021-03-23 19:30:00	nhp_bruto_extracao_icp	165.36	Primavera do Leste
2021-03-24 08:00:00	nhp_bruto_extracao_icp	202.21	Primavera do Leste
2021-03-24 16:00:00	nhp_bruto_extracao_icp	120.21	Primavera do Leste
2021-03-25 08:00:00	nhp_bruto_extracao_icp	184.70	Primavera do Leste
2021-03-25 16:00:00	nhp_bruto_extracao_icp	193.49	Primavera do Leste
2021-03-26 08:00:00	nhp_bruto_extracao_icp	196.05	Primavera do Leste
2021-03-26 16:00:00	nhp_bruto_extracao_icp	181.40	Primavera do Leste
2021-03-27 08:00:00	nhp_bruto_extracao_icp	201.48	Primavera do Leste
2021-03-28 00:00:00	nhp_bruto_extracao_icp	150.37	Primavera do Leste
2021-03-28 08:00:00	nhp_bruto_extracao_icp	166.22	Primavera do Leste
2021-03-29 00:00:00	nhp_bruto_extracao_icp	163.97	Primavera do Leste
2021-03-29 08:00:00	nhp_bruto_extracao_icp	139.34	Primavera do Leste
2021-03-30 00:00:00	nhp_bruto_extracao_icp	244.04	Primavera do Leste
2021-03-30 08:00:00	nhp_bruto_extracao_icp	123.01	Primavera do Leste
2021-03-30 12:00:00	nhp_bruto_extracao_icp	177.10	Primavera do Leste
2021-03-30 16:00:00	nhp_bruto_extracao_icp	169.26	Primavera do Leste
2021-03-31 08:00:00	nhp_bruto_extracao_icp	138.34	Primavera do Leste
